Артикул;Ozon Product ID;SKU;Barcode;Название товара;Контент-рейтинг;Бренд;Статус товара;Отзывы;Рейтинг;Видимость на Ozon;Причины скрытия;Дата создания;Категория комиссии;Объем товара, л;Объемный вес, кг;Доступно к продаже по схеме FBO, шт.;Вывезти и нанести КИЗ (кроме Твери), шт;Зарезервировано, шт;Доступно к продаже по схеме FBS, шт.;Доступно к продаже по схеме realFBS, шт.;Зарезервировано на моих складах, шт;Текущая цена с учетом скидки, ₽;Цена до скидки (перечеркнутая цена), ₽;Цена Premium, ₽;Размер НДС, %
Термонаклейка Мэрилин Монро Поп арт жвачка;974356686;1506320005;OZN1506320005;Термонаклейка для одежды: Мэрилин Монро Поп арт жвачка;47.5;Amazing pics;Продается;1103;5.00;Показывается;;27.03.2024 14:40;;0.28;0.1;47;0;0;0;0;0;349.00;524.00;;0%
Термонаклейка Микки Маус бабочки цверы силует;991560134;1522020596;OZN1522020596;Термонаклейка для одежды: Микки Маус бабочки цветы силуэт;47.5;Amazing pics;Продается;1103;5.00;Показывается;;02.04.2024 8:50;;0.26;0.1;35;0;0;0;0;0;349.00;524.00;;0%
Термонаклейка Сердце разынй окрас;991560142;1522019498;OZN1522019498;Термонаклейка для одежды: Сердце разынй окрас;47.5;Amazing pics;Продается;1103;5.00;Показывается;;02.04.2024 8:50;;0.32;0.1;44;0;1;0;0;0;349.00;524.00;;0%
Термонаклейка Цветы Желтый Мак;991560185;1522020719;OZN1522020719;Термонаклейка для одежды: Цветы Желтый Мак;47.5;Amazing pics;Продается;1103;5.00;Показывается;;02.04.2024 8:50;;0.32;0.1;22;0;0;0;0;0;349.00;524.00;;0%
Термонаклейка Цветы Розовые Ирис;991560223;1522019774;OZN1522019774;Термонаклейка для одежды: Цветы Розовые Ирис;47.5;Amazing pics;Продается;1103;5.00;Показывается;;02.04.2024 8:50;;0.33;0.1;25;0;0;0;0;0;349.00;524.00;;0%
Термонаклейка Солнце Луна Звезды Астрология;991560236;1522020909;OZN1522020909;Термонаклейка для одежды: Солнце Луна Звезды Астрология;47.5;Amazing pics;Продается;1103;5.00;Показывается;;02.04.2024 8:50;;0.32;0.1;28;0;0;0;0;0;349.00;524.00;;0%
Термонаклейка Подсолнух Ван Гог;991560252;1522019636;OZN1522019636;Термонаклейка для одежды: Подсолнух Ван Гог;47.5;Amazing pics;Продается;1103;5.00;Показывается;;02.04.2024 8:50;;0.39;0.1;30;0;0;0;0;0;349.00;524.00;;0%
Термонаклейка Цветы Синии Амариллис;1004492722;1532937945;OZN1532937945;Термонаклейка для одежды: Цветы Синии Амариллис;47.5;Amazing pics;Продается;1103;5.00;Показывается;;07.04.2024 8:18;;0.46;0.1;55;0;1;0;0;0;349.00;524.00;;0%
Термонаклейки Nike Найк набор;1004492859;1532938438;OZN1532938438;Термонаклейка для одежды:Термонаклейки Nike Найк набор;47.5;Amazing pics;Продается;1103;5.00;Показывается;;07.04.2024 8:18;;0.32;0.1;75;0;0;0;0;0;349.00;524.00;;0%
Термонаклейка Кассета цветы Vintage Soul;1004492866;1532939316;OZN1532939316;Термонаклейка для одежды: Кассета цветы Vintage Soul;47.5;Amazing pics;Продается;1103;5.00;Показывается;;07.04.2024 8:18;;0.25;0.1;25;0;0;0;0;0;349.00;524.00;;0%
Термонаклейка Цветы Магнолия белые Botanical;1107546027;1625046334;OZN1625046334;Термонаклейка для одежды: Цветы Магнолия белые Botanical;47.5;Amazing pics;Продается;820;5.00;Показывается;;10.07.2024 7:01;;0.31;0.1;30;0;0;0;0;0;349.00;524.00;;0%
Термонаклейка Цветы Тюльпаны 5шт белые;1107983436;1625431183;OZN1625431183;Термонаклейка для одежды: Цветы Тюльпаны 5шт белые;47.5;Amazing pics;Продается;820;5.00;Показывается;;10.07.2024 12:14;;0.25;0.1;120;0;0;0;0;0;349.00;524.00;;0%
Термонаклейка Белая Лошадь Цветы;1238299364;1738651871;OZN1738651871;Термонаклейка для одежды: Белая Лошадь Цветы;47.5;Amazing pics;Продается;820;5.00;Показывается;;23.10.2024 12:03;;0.32;0.1;40;0;0;0;0;0;349.00;524.00;;0%
Термонаклейка Лотос розовый золотистый;1238299367;1738651921;OZN1738651921;Термонаклейка для одежды: Лотос розовый золотистый;47.5;Amazing pics;Продается;820;5.00;Показывается;;23.10.2024 12:03;;0.39;0.1;57;0;1;0;0;0;349.00;524.00;;0%
Термонаклейка Мотылек Луна;1238299368;1738651917;OZN1738651917;Термонаклейка для одежды: Мотылек Луна;47.5;Amazing pics;Продается;820;5.00;Показывается;;23.10.2024 12:03;;0.30;0.1;31;0;0;0;0;0;349.00;524.00;;0%
Термонаклейка Девушка и 2 ласточки;1238299369;1738651829;OZN1738651829;Термонаклейка для одежды: Девушка и 2 ласточки;47.5;Amazing pics;Продается;820;5.00;Показывается;;23.10.2024 12:03;;0.07;0.1;11;0;0;0;0;0;349.00;524.00;;0%
Термонаклейка Девочка и Лиса;1238299379;1738653148;OZN1738653148;Термонаклейка для одежды: Девочка и Лиса;47.5;Amazing pics;Продается;820;5.00;Показывается;;23.10.2024 12:03;;0.28;0.1;35;0;0;0;0;0;349.00;524.00;;0%
Термонаклейка Сердце Море Силует;1238299382;1738651926;OZN1738651926;Термонаклейка для одежды: Сердце Море Силует;47.5;Amazing pics;Продается;820;5.00;Показывается;;23.10.2024 12:03;;01.авг;0.2;33;0;1;0;0;0;349.00;524.00;;0%
Термонаклейка набор Щенячий Патруль Paw Patrol;1252473108;1750741073;OZN1750741073;Термонаклейка для одежды: набор Щенячий Патруль Paw Patrol;47.5;Amazing pics;Продается;495;5.00;Показывается;;06.11.2024 10:59;;0.31;0.1;119;0;2;0;0;0;349.00;524.00;;0%
Термонаклейка набор Черепашки ниндзя turtles TMNT;1252477913;1750746305;OZN1750746305;Термонаклейка для одежды: набор Черепашки ниндзя turtles TMNT;47.5;Amazing pics;Продается;495;5.00;Показывается;;06.11.2024 11:04;;0.26;0.1;150;0;0;0;0;0;349.00;524.00;;0%
Термонаклейка Белый волк с цветами и узорами;1375852847;1849777656;OZN1849777656;Термонаклейка для одежды: Белый волк с цветами и узорами;47.5;Amazing pics;Продается;820;5.00;Показывается;;28.01.2025 5:14;;0.32;0.1;47;0;0;0;0;0;349.00;524.00;;0%
